example_id,test_domain,label,likelihood_prediction,spam_probability,source,generated_text,generated_label,generated_label_id,valid_generation,generation_correct,likelihood_generation_agreement,model,model_name,model_revision,prompt_id,source_notebook
d92b76c11e2e2af4fa40a15d7efe3de019b8c60ae2de1807a210a999fcf15d5a,sms,1,0,0.09060667527046755,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
d32037b59641080930729f1a595ca3a1f86819dca03ad404f155fe0b2e7fcf51,sms,0,0,0.010735322600133584,sms,ham,ham,0,True,True,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
7489754cb8f7b0fe798f06f289c9f7e475f2d1e149c2c83422d5b186b3a66ae9,sms,1,0,0.24809304832357318,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
f4ed3c5f4a215993590a621458a43a74ed7f4573cd6cfb4ecacf06bc8ba6ec2f,sms,1,0,0.3939653372241519,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
bbb3307ebb0dbc17e51846cf0b1a866bdb29f4c2def0c9eff91a9ee5bce6cdb7,sms,1,0,0.27071815868248844,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
cf8e39aa55feae7c35f8b92db3e2b3748d7ccc588783eb44ad4a2f9085b434f4,sms,1,0,0.1872535554887658,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
766f426c637d1512c0fc120c92c6b0c5216792d90a740364e092771a07afd04f,sms,1,0,0.13399643689059848,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
fa6f2ac642e3ba2b03f9e7bc9ee9c0a15cff43fb9c40ae82b715d4744927570a,sms,0,0,0.11374874972452376,sms,ham,ham,0,True,True,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
708e583e221f84620b9eb99e5be4d25a793c9eb614e78b5148e4a72c50900a85,sms,1,0,0.07488832660890793,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
3381b4108362a42e5770e766d3c416d14d266b7511a8c3ea3019242590017e0f,sms,0,0,0.2588820532443344,sms,ham,ham,0,True,True,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
4f708807818930a9e575382ba6fad7f713bf612a5a6baad479efcafd0d1431e3,sms,0,0,0.0664280644394995,sms,ham,ham,0,True,True,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
abcc9abe75c5f778861b23ad91b67bbf21f35abdd08850e2267b0b5f1fa816ef,sms,0,0,0.07400848315657058,sms,ham,ham,0,True,True,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
a40256dd7424eab4e75a8d89575fe5cd0b34f81e4cbd308f0f827dee2a72ec39,sms,0,0,0.0833593260122496,sms,ham,ham,0,True,True,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
74aa479ca17fe103fc6bdebc72b829e38fe7b1b7ea98262d8254774a95127370,sms,1,0,0.07434171988070555,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
4a7170ad3c4f3fcaa705dfda01afe3f1d64ea349214e18859a423815e8745b1b,sms,1,0,0.33976410450118816,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
2057cc3ff2cdfb04e0c50d9314cf611205914453202558746284646808a488a9,sms,0,0,0.01804662386072263,sms,ham,ham,0,True,True,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
1fc7ce674d91a1b9a64fca8710f8f33125bbb08f6d6115cc9f329d6afd7d9a9d,sms,0,0,0.1313147474956339,sms,ham,ham,0,True,True,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
11a88262ecfb2d7b7bad1af707b0ff189ef625f3e626eb25863ac0ccb4671a04,sms,1,0,0.2254801295584877,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
74d68c03f70392533fd874696d543ad838bb230f84da44853d8e32650799a963,sms,0,0,0.06877948648083981,sms,ham,ham,0,True,True,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
fcb853ad7656dfdc5c55828ae63ce72c6a9325a73e0bcf7c7d3cefc4dfa00108,sms,0,0,0.004658941191167493,sms,ham,ham,0,True,True,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
9f85773b76ced8cddaa740a70c69cafecb2831a118037e11335726a310a1c951,sms,0,0,0.16812402914740812,sms,ham,ham,0,True,True,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
c085025b5aaad64f0a9088a88cbce3e2c74ea195b579591311b9d09bf5ae4f1a,sms,1,0,0.2795780610145594,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
9fd460fac1179472f7881387f12b4048d3331e5eb025453235cb7b80b69112d5,sms,1,0,0.05990068085435734,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
9630ca1889a296eece3e2f70c9868e14667ac824afa4112b4951953b0efdb451,sms,1,0,0.29542373170808783,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
6f8537638f7433ede83d7b5066ccb7ae1d82cb1cd6352fd65ce7aa6ca53e5e0e,sms,0,0,0.24068406552659136,sms,ham,ham,0,True,True,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
bdd1f76c5765c834b186785714665344f85070b8045c663813bc1296659fb8bd,sms,1,0,0.04913593206856488,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
473fe76c81f289c18e50fc88a6f6f22775a1f4ce52030186109d0576d9277dad,sms,0,0,0.03559722667742304,sms,ham,ham,0,True,True,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
3de7c55fe297990e91007995e70a3271c3884f16696ba5f8ed4b280b43ea168b,sms,0,0,0.011933677101577321,sms,ham,ham,0,True,True,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
ab9dcf60ce026633820959bea1a0f8a05d656c00bca5c8a622f59e89152ee753,sms,1,0,0.11802815812055345,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
81868d1a7afe76288668346bcefcf5e44f34dcabf2911d6916edf2de7319ce27,sms,1,0,0.3646758858837355,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
f1058cd12fd90a1b499eabf35c279824ba9a8cb244034878adaa7c32f82e9b00,sms,0,0,0.09127976358809922,sms,ham,ham,0,True,True,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
8c0c532af2e78ee4f307b22f51822744f9d4a2c5a22e917dfe2423caa975b937,sms,0,0,0.09714271935303685,sms,ham,ham,0,True,True,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
7252958264389c449509cf97dd6fb6e6a61c0eaf0109a1a367f75982305c5bd9,sms,1,0,0.36446772046668674,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
9dfef5b41a809d940828f77a99232333e5fc8cc2142fce5edf072d6e8b32a673,sms,1,0,0.35292918157622793,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
3b5afc4f1b6ba8cc974f08f1c089d8478be2d222e15d638fa568942a76b9d07b,sms,0,0,0.10323454199458933,sms,ham,ham,0,True,True,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
7be583f08878481d9b9c3170b756a00cfc1b1114bcfaf7494cd1a8ffff973277,sms,1,0,0.22661902923123103,sms,ham,ham,0,True,False,True,FLAN-T5 Base (zero-shot),google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,spam_definition_v1,notebooks/05_zero_shot_generative.ipynb
